first,second,edit,dl,jaro,jw,bag,pw,sw,lcs3avg,lcs2avg,lcs3sht,lcs2sht,lcs3long,lcs2long,SWlong,SWsht,SWavg,1gramslong,1gramssht,1gramsavg,pad1gramslong,pad1gramssht,pad1gramsavg,2gramslong,2gramssht,2gramsavg,pad2gramslong,pad2gramssht,pad2gramsavg,3gramslong,3gramssht,3gramsavg,pad3gramslong,pad3gramssht,pad3gramsavg,pos1gramsavg,pos1gramssht,pos1gramslong,pos2gramsavg,pos2gramssht,pos2gramslong,pos3gramsavg,pos3gramssht,pos3gramslong,padpos1gramsavg,padpos1gramssht,padpos1gramslong,padpos2gramsavg,padpos2gramssht,padpos2gramslong,padpos3gramsavg,padpos3gramssht,padpos3gramslong,padskipgramslong,padskipgramssht,padskipgramsavg,skipgramslong,skipgramssht,skipgramsavg,Soundex,Phonex,Phonix,NYSIIS,D-Metaphone,FuzSoundex,Genjac2j,Genjac3j,Genjac2jw,Genjac3jw,Mong2j,Mong3j,Mong2jw,Mong3jw,editex,SAPSavg,SAPSsht,SAPSlong
m,a,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0.4,0.114285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.5,0.25,0,0.25,0.190476196,0.263888896,0.195238105,0.275000006,0.190476196,0.333333343,0.195238105,0.344444454,0.166666667,0,0,0
adeline,albert,0.142857143,0.142857143,0.531746032,0.578571429,0.428571429,0.578571429,0.578571429,0.153846154,0.153846154,0.166666667,0.166666667,0.142857143,0.142857143,0.2,0.233333333,0.215384615,0.428571429,0.5,0.461538462,0.428571429,0.5,0.461538462,0,0,0,0.125,0.142857143,0.133333333,0,0,0,0.111111111,0.125,0.117647059,0.461538462,0.5,0.428571429,0,0,0,0,0,0,0.461538462,0.5,0.428571429,0.133333333,0.142857143,0.125,0.117647059,0.125,0.111111111,0.111111111,0.129032258,0.119402985,0.076923077,0.095238095,0.085106383,0.25,0.25,0.25,0.25,0.25,0,0.366666675,0.59259261,0.376666683,0.612345695,0.625000015,0.654321008,0.641666695,0.674074094,0.214285714,0,0,0
elener,anthony,0,0,0.436507937,0.436507937,0.142857143,0.436507937,0.436507937,0.153846154,0.153846154,0.166666667,0.166666667,0.142857143,0.142857143,0.2,0.233333333,0.215384615,0.142857143,0.166666667,0.153846154,0.142857143,0.166666667,0.153846154,0,0,0,0,0,0,0,0,0,0,0,0,0.153846154,0.166666667,0.142857143,0,0,0,0,0,0,0.153846154,0.166666667,0.142857143,0,0,0,0,0,0,0.027777778,0.032258065,0.029850746,0,0,0,0,0.25,0.25,0,0.25,0,0.24242425,0.343434355,0.248484861,0.446666682,0.380952392,0.541666687,0.39047621,0.558333352,0.214285714,0,0,0
ida,james,0,0,0.511111111,0.511111111,0.2,0.511111111,0.511111111,0.25,0.25,0.333333333,0.333333333,0.2,0.2,0.2,0.333333333,0.25,0.2,0.333333333,0.25,0.2,0.333333333,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.333333333,0.2,0,0,0,0,0,0,0.25,0.333333333,0.2,0,0,0,0,0,0,0.038461538,0.0625,0.047619048,0,0,0,0.25,0.5,0.25,0,0,0.25,0.285714294,0.333333343,0.295238112,0.344444454,0.500000015,0.644444466,0.516666695,0.662222242,0.2,0,0,0
s,lydia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0.5,0,0,0.5,0.222222229,0.301587309,0.227777789,0.314285721,0.666666687,0.703703721,0.683333367,0.733333349,0.1,0,0,0
jacob,maude,0.2,0.2,0.466666667,0.466666667,0.2,0.466666667,0.466666667,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0,0,0,0,0.076923077,0.076923077,0.076923077,0,0,0,0.25,0.25,0.25,0.25,0,0.25,0.333333343,0.500000015,0.341666684,0.513888903,0.444444458,0.571428588,0.455555578,0.587301603,0.2,0,0,0
georgana,william,0.125,0.125,0.422619048,0.422619048,0.125,0.422619048,0.422619048,0.133333333,0.133333333,0.142857143,0.142857143,0.125,0.125,0.175,0.2,0.186666667,0.125,0.142857143,0.133333333,0.125,0.142857143,0.133333333,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333,0.142857143,0.125,0,0,0,0,0,0,0.133333333,0.142857143,0.125,0,0,0,0,0,0,0.048780488,0.055555556,0.051948052,0,0,0,0,0.5,0.5,0.25,0,0,0.205128211,0.290598301,0.210256421,0.299145309,0.370370381,0.433333349,0.381481502,0.448888904,0.375,0,0,0
ignace,aaron,0,0,0.411111111,0.411111111,0.333333333,0.411111111,0.411111111,0.181818182,0.181818182,0.2,0.2,0.166666667,0.166666667,0.166666667,0.2,0.181818182,0.333333333,0.4,0.363636364,0.333333333,0.4,0.363636364,0,0,0,0,0,0,0,0,0,0,0,0,0.363636364,0.4,0.333333333,0,0,0,0,0,0,0.363636364,0.4,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.5,0,0.5,0.25,0.416666679,0.419753101,0.307407426,0.434567915,0.47619049,0.611111134,0.490476217,0.633333355,0.166666667,0,0,0
christina,aron,0.222222222,0.222222222,0.453703704,0.453703704,0.333333333,0.453703704,0.453703704,0.153846154,0.153846154,0.25,0.25,0.111111111,0.111111111,0.155555556,0.35,0.215384615,0.333333333,0.75,0.461538462,0.333333333,0.75,0.461538462,0,0,0,0,0,0,0,0,0,0,0,0,0.153846154,0.25,0.111111111,0,0,0,0,0,0,0.153846154,0.25,0.111111111,0,0,0,0,0,0,0.043478261,0.095238095,0.059701493,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.333333343,0.343434355,0.346666688,0.361616173,0.400000012,0.515151533,0.413333356,0.529292947,0.277777778,0,0,0
emily,arron,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.16,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.5,0.25,0.333333333,0.25,0.133333337,0.266666675,0.136666673,0.275555563,0.222222229,0.380952392,0.227777789,0.393650804,0.2,0,0,0
edouard,abigil,0,0,0,0,0.142857143,0,0,0.153846154,0.153846154,0.166666667,0.166666667,0.142857143,0.142857143,0.142857143,0.166666667,0.153846154,0.142857143,0.166666667,0.153846154,0.142857143,0.166666667,0.153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0.166666672,0.268518527,0.172222232,0.279629638,0.333333343,0.481481499,0.341666684,0.496296313,0.285714286,0,0,0
mina,abdie,0,0,0,0,0.4,0,0,0.222222222,0.222222222,0.25,0.25,0.2,0.2,0.2,0.25,0.222222222,0.4,0.5,0.444444444,0.4,0.5,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0.25,0.2,0,0,0,0,0,0,0.222222222,0.25,0.2,0,0,0,0,0,0,0.038461538,0.047619048,0.042553191,0,0,0,0.25,0.25,0.25,0,0,0.25,0.380952392,0.402777791,0.395238119,0.419444457,0.666666687,0.629629652,0.686666703,0.651851873,0.2,0,0,0
willard,able,0.142857143,0.142857143,0.464285714,0.464285714,0.285714286,0.464285714,0.464285714,0.181818182,0.181818182,0.25,0.25,0.142857143,0.142857143,0.2,0.35,0.254545455,0.285714286,0.5,0.363636364,0.285714286,0.5,0.363636364,0,0,0,0,0,0,0,0,0,0,0,0,0.181818182,0.25,0.142857143,0,0,0,0,0,0,0.181818182,0.25,0.142857143,0,0,0,0,0,0,0.027777778,0.047619048,0.035087719,0,0,0,0,0.25,0.25,0.25,0.25,0,0.416666679,0.419753101,0.42916669,0.439506186,0.500000015,0.604938295,0.516666695,0.629629652,0.357142857,0,0,0
janet,albert,0.333333333,0.333333333,0.7,0.7,0.5,0.7,0.7,0.181818182,0.181818182,0.2,0.2,0.166666667,0.166666667,0.166666667,0.2,0.181818182,0.5,0.6,0.545454545,0.5,0.6,0.545454545,0,0,0,0.142857143,0.166666667,0.153846154,0,0,0,0.125,0.142857143,0.133333333,0.545454545,0.6,0.5,0,0,0,0,0,0,0.545454545,0.6,0.5,0.153846154,0.166666667,0.142857143,0.133333333,0.142857143,0.125,0.193548387,0.230769231,0.210526316,0.095238095,0.125,0.108108108,0,0.5,0,0.25,0,0.25,0.458333343,0.469135814,0.470833354,0.483950628,0.722222239,0.714285731,0.738888919,0.730158746,0.333333333,0,0,0
robert,albertine,0.444444444,0.444444444,0.703703704,0.703703704,0.444444444,0.703703704,0.703703704,0.533333333,0.533333333,0.666666667,0.666666667,0.444444444,0.444444444,0.444444444,0.666666667,0.533333333,0.444444444,0.666666667,0.533333333,0.444444444,0.666666667,0.533333333,0.375,0.6,0.461538462,0.3,0.428571429,0.352941176,0.285714286,0.5,0.363636364,0.181818182,0.25,0.210526316,0.533333333,0.666666667,0.444444444,0.461538462,0.6,0.375,0.363636364,0.5,0.285714286,0.533333333,0.666666667,0.444444444,0.352941176,0.428571429,0.3,0.210526316,0.25,0.181818182,0.260869565,0.387096774,0.311688312,0.305555556,0.523809524,0.385964912,0.25,0.25,0.25,0.5,0.25,0.25,0.45454546,0.565656575,0.460606071,0.577777787,0.809523821,0.777777791,0.823809547,0.800000012,0.444444444,0.31372549,0.363636364,0.275862069
leila,abbygill,0.25,0.25,0.55,0.55,0.5,0.55,0.55,0.307692308,0.307692308,0.4,0.4,0.25,0.25,0.25,0.4,0.307692308,0.5,0.8,0.615384615,0.5,0.8,0.615384615,0.142857143,0.25,0.181818182,0.111111111,0.166666667,0.133333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12195122,0.192307692,0.149253731,0.064516129,0.125,0.085106383,0,0,0,0.25,0.25,0,0.481481493,0.500000012,0.49629632,0.515555567,0.722222239,0.714285731,0.74444448,0.742857158,0.4375,0,0,0
reubon,abbegle,0,0,0.373015873,0.373015873,0.285714286,0.373015873,0.373015873,0.153846154,0.153846154,0.166666667,0.166666667,0.142857143,0.142857143,0.2,0.233333333,0.215384615,0.285714286,0.333333333,0.307692308,0.285714286,0.333333333,0.307692308,0,0,0,0,0,0,0,0,0,0,0,0,0.307692308,0.333333333,0.285714286,0,0,0,0,0,0,0.307692308,0.333333333,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,0.25,0.25,0.444444458,0.433333349,0.343333352,0.451111126,0.571428588,0.611111134,0.585714315,0.633333355,0.214285714,0,0,0
margrett,abigal,0.125,0.125,0.527777778,0.527777778,0.25,0.527777778,0.527777778,0.142857143,0.142857143,0.166666667,0.166666667,0.125,0.125,0.175,0.233333333,0.2,0.25,0.333333333,0.285714286,0.25,0.333333333,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0.285714286,0.333333333,0.25,0,0,0,0,0,0,0.285714286,0.333333333,0.25,0,0,0,0,0,0,0.048780488,0.064516129,0.055555556,0.032258065,0.047619048,0.038461538,0.25,0,0,0.25,0.25,0.25,0.303030312,0.393939408,0.312121229,0.410101024,0.444444458,0.511111128,0.455555578,0.526666683,0.3125,0,0,0
lydie,abagail,0.142857143,0.142857143,0.447619048,0.447619048,0.285714286,0.447619048,0.447619048,0.166666667,0.166666667,0.2,0.2,0.142857143,0.142857143,0.142857143,0.2,0.166666667,0.285714286,0.4,0.333333333,0.285714286,0.4,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.2,0.142857143,0,0,0,0,0,0,0.166666667,0.2,0.142857143,0,0,0,0,0,0,0.055555556,0.076923077,0.064516129,0,0,0,0,0,0,0,0,0,0.266666675,0.400000012,0.276666683,0.411111122,0.555555572,0.650793672,0.572222253,0.673015893,0.214285714,0,0,0
lucinda,abigah,0.142857143,0.142857143,0.53968254,0.53968254,0.285714286,0.53968254,0.53968254,0.153846154,0.153846154,0.166666667,0.166666667,0.142857143,0.142857143,0.142857143,0.166666667,0.153846154,0.285714286,0.333333333,0.307692308,0.285714286,0.333333333,0.307692308,0,0,0,0,0,0,0,0,0,0,0,0,0.307692308,0.333333333,0.285714286,0,0,0,0,0,0,0.307692308,0.333333333,0.285714286,0,0,0,0,0,0,0.055555556,0.064516129,0.059701493,0.038461538,0.047619048,0.042553191,0,0.25,0,0.25,0,0,0.333333343,0.343434355,0.343333352,0.448888904,0.416666679,0.543209897,0.42916669,0.560493847,0.214285714,0,0,0
