ln71,ln81,edit,dl,jaro,jw,bag,pw,sw,lcs3avg,lcs2avg,lcs3sht,lcs2sht,lcs3long,lcs2long,SWlong,SWsht,SWavg,1gramslong,1gramssht,1gramsavg,pad1gramslong,pad1gramssht,pad1gramsavg,2gramslong,2gramssht,2gramsavg,pad2gramslong,pad2gramssht,pad2gramsavg,3gramslong,3gramssht,3gramsavg,pad3gramslong,pad3gramssht,pad3gramsavg,pos1gramsavg,pos1gramssht,pos1gramslong,pos2gramsavg,pos2gramssht,pos2gramslong,pos3gramsavg,pos3gramssht,pos3gramslong,padpos1gramsavg,padpos1gramssht,padpos1gramslong,padpos2gramsavg,padpos2gramssht,padpos2gramslong,padpos3gramsavg,padpos3gramssht,padpos3gramslong,padskipgramslong,padskipgramssht,padskipgramsavg,skipgramslong,skipgramssht,skipgramsavg,Soundex,Phonex,Phonix,NYSIIS,D-Metaphone,FuzSoundex,Genjac2j,Genjac3j,Genjac2jw,Genjac3jw,Mong2j,Mong3j,Mong2jw,Mong3jw,editex,SAPSavg,SAPSsht,SAPSlong,count,len1,len2,s1,s2,v1,v2,c1,c2,difflen,diffvow,diffcons,diffsyl
a,a,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
a,albert,0.166666667,0.166666667,0.722222222,0.722222222,0.166666667,0.722222222,0.722222222,0.285714286,0.285714286,1,1,0.166666667,0.166666667,0.166666667,1,0.285714286,0.166666667,1,0.285714286,0.166666667,1,0.285714286,0,0,0,0.142857143,0.5,0.222222222,0,0,0,0.125,0.333333333,0.181818182,0.285714286,1,0.166666667,0,0,0,0,0,0,0.285714286,1,0.166666667,0.222222222,0.5,0.142857143,0.181818182,0.333333333,0.125,0.064516129,0.333333333,0.108108108,0,0,0,0.25,0.75,0.25,0.25,0.25,0,0.238095241,0.319444448,0.24285715,0.325000003,0.833333343,0.851851861,0.850000024,0.866666675,0.166666667,0,0,0,2,1,6,1,2,1,2,0,4,-5,-1,-4,-1
a,anthony,0.142857143,0.142857143,0.714285714,0.714285714,0.142857143,0.714285714,0.714285714,0.25,0.25,1,1,0.142857143,0.142857143,0.142857143,1,0.25,0.142857143,1,0.25,0.142857143,1,0.25,0,0,0,0.125,0.5,0.2,0,0,0,0.111111111,0.333333333,0.166666667,0.25,1,0.142857143,0,0,0,0,0,0,0.25,1,0.142857143,0.2,0.5,0.125,0.166666667,0.333333333,0.111111111,0.055555556,0.333333333,0.095238095,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.208333336,0.28395062,0.212500006,0.288888892,0.833333343,0.851851861,0.850000024,0.866666675,0.214285714,0,0,0,1,1,7,1,3,1,2,0,5,-6,-1,-5,-2
a,james,0.2,0.2,0.733333333,0.733333333,0.2,0.733333333,0.733333333,0.333333333,0.333333333,1,1,0.2,0.2,0.2,1,0.333333333,0.2,1,0.333333333,0.2,1,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,1,0.2,0,0,0,0,0,0,0.333333333,1,0.2,0,0,0,0,0,0,0.038461538,0.166666667,0.0625,0,0,0,0.25,0.5,0.25,0.333333333,0,0.25,0.222222229,0.301587309,0.233333349,0.314285721,0.666666687,0.703703721,0.700000048,0.733333349,0.2,0,0,0,1,1,5,1,2,1,2,0,3,-4,-1,-3,-1
a,lydia,0.2,0.2,0,0,0.2,0,0,0.333333333,0.333333333,1,1,0.2,0.2,0.2,1,0.333333333,0.2,1,0.333333333,0.2,1,0.333333333,0,0,0,0.166666667,0.5,0.25,0,0,0,0.142857143,0.333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923077,0.333333333,0.125,0,0,0,0.5,0.5,0.5,0.333333333,0,0.5,0.277777781,0.365079369,0.283333341,0.371428575,0.833333343,0.851851861,0.850000024,0.866666675,0.2,0,0,0,1,1,5,1,2,1,2,0,3,-4,-1,-3,-1
a,maude,0.2,0.2,0.733333333,0.733333333,0.2,0.733333333,0.733333333,0.333333333,0.333333333,1,1,0.2,0.2,0.2,1,0.333333333,0.2,1,0.333333333,0.2,1,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,1,0.2,0,0,0,0,0,0,0.333333333,1,0.2,0,0,0,0,0,0,0.038461538,0.166666667,0.0625,0,0,0,0.5,0.5,0.5,0.333333333,0,0.5,0.222222229,0.301587309,0.233333349,0.314285721,0.666666687,0.703703721,0.700000048,0.733333349,0.3,0,0,0,1,1,5,1,1,1,3,0,2,-4,-2,-2,0
a,william,0.142857143,0.142857143,0,0,0.142857143,0,0,0.25,0.25,1,1,0.142857143,0.142857143,0.142857143,1,0.25,0.142857143,1,0.25,0.142857143,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0.166666667,0.047619048,0,0,0,0.25,0.25,0.25,0.25,0.333333333,0.25,0.166666672,0.234567907,0.175000012,0.246913585,0.666666687,0.703703721,0.700000048,0.740740756,0.357142857,0,0,0,1,1,7,1,2,1,3,0,4,-6,-2,-4,-1
aaron,aaron,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,5,2,2,3,3,2,2,0,0,0,0
aaron,aron,0.8,0.8,0.933333333,0.94,0.8,0.94,0.94,0.888888889,0.888888889,1,1,0.8,0.8,0.8,1,0.888888889,0.8,1,0.888888889,0.8,1,0.888888889,0.75,1,0.857142857,0.833333333,1,0.909090909,0.666666667,1,0.8,0.714285714,0.833333333,0.769230769,0.888888889,1,0.8,0.857142857,1,0.75,0.8,1,0.666666667,0.888888889,1,0.8,0.909090909,1,0.833333333,0.769230769,0.833333333,0.714285714,0.730769231,0.904761905,0.808510638,0.6875,1,0.814814815,1,1,1,1,1,1,0.833333333,0.825396827,0.833333333,0.831746033,0.944444448,0.93650794,0.950000008,0.942857146,1,0.571428571,0.714285714,0.476190476,1,5,4,2,2,3,2,2,2,1,1,0,0
aaron,arron,0.8,0.8,0.866666667,0.88,0.8,0.88,0.88,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.75,0.75,0.75,0.833333333,0.833333333,0.833333333,0.333333333,0.333333333,0.333333333,0.571428571,0.571428571,0.571428571,0.8,0.8,0.8,0.75,0.75,0.75,0.333333333,0.333333333,0.333333333,0.8,0.8,0.8,0.833333333,0.833333333,0.833333333,0.571428571,0.571428571,0.571428571,0.730769231,0.730769231,0.730769231,0.6875,0.6875,0.6875,1,1,1,1,1,1,0.714285714,0.90476191,0.714285714,0.705555558,0.944444448,0.90476191,0.950000008,0.920634925,1,1,1,1,1,5,5,2,2,3,2,2,3,0,1,-1,0
