ln71,ln81,edit,dl,jaro,jw,bag,pw,sw,lcs3avg,lcs2avg,lcs3sht,lcs2sht,lcs3long,lcs2long,SWlong,SWsht,SWavg,1gramslong,1gramssht,1gramsavg,pad1gramslong,pad1gramssht,pad1gramsavg,2gramslong,2gramssht,2gramsavg,pad2gramslong,pad2gramssht,pad2gramsavg,3gramslong,3gramssht,3gramsavg,pad3gramslong,pad3gramssht,pad3gramsavg,pos1gramsavg,pos1gramssht,pos1gramslong,pos2gramsavg,pos2gramssht,pos2gramslong,pos3gramsavg,pos3gramssht,pos3gramslong,padpos1gramsavg,padpos1gramssht,padpos1gramslong,padpos2gramsavg,padpos2gramssht,padpos2gramslong,padpos3gramsavg,padpos3gramssht,padpos3gramslong,padskipgramslong,padskipgramssht,padskipgramsavg,skipgramslong,skipgramssht,skipgramsavg,Soundex,Phonex,Phonix,NYSIIS,DMetaphone,FuzSoundex,Genjac2j,Genjac3j,Genjac2jw,Genjac3jw,Mong2j,Mong3j,Mong2jw,Mong3jw,editex,SAPSavg,SAPSsht,SAPSlong,count,len1,len2,s1,s2,v1,v2,c1,c2,difflen,diffvow,diffcons,diffsyl
abbey,abbey,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,2,2,2,2,3,3,0,0,0,0
abbott,abbott,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,2,2,2,2,4,4,0,0,0,0
abell,abell,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,5,2,2,2,2,3,3,0,0,0,0
abraham,abram,0.714285714,0.714285714,0.904761905,0.942857143,0.714285714,0.942857143,0.942857143,0.666666667,0.666666667,0.8,0.8,0.571428571,0.571428571,0.571428571,0.8,0.666666667,0.714285714,1,0.833333333,0.714285714,1,0.833333333,0.666666667,1,0.8,0.75,1,0.857142857,0.4,0.666666667,0.5,0.666666667,0.857142857,0.75,0.833333333,1,0.714285714,0.8,1,0.666666667,0.5,0.666666667,0.4,0.833333333,1,0.714285714,0.857142857,1,0.75,0.75,0.857142857,0.666666667,0.611111111,0.846153846,0.709677419,0.5,0.8125,0.619047619,1,1,1,1,0.75,1,0.75,0.753086421,0.75,0.758024693,0.916666672,0.901234574,0.920833342,0.911111116,0.785714286,0.680851064,0.8,0.592592593,5,7,5,3,2,3,2,4,3,2,1,1,1
adair,adair,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,2,2,3,3,2,2,0,0,0,0
adams,adams,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,5,5,2,2,2,2,3,3,0,0,0,0
addison,addison,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,3,3,3,3,4,4,0,0,0,0
adolph,adolph,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,6,2,2,2,2,4,4,0,0,0,0
adrain,adrain,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,6,6,2,2,3,3,3,3,0,0,0,0
agnew,agnew,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,5,2,2,2,2,3,3,0,0,0,0
ahrens,ahrens,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,6,6,2,2,2,2,4,4,0,0,0,0
aikens,aikens,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,2,2,3,3,3,3,0,0,0,0
aikman,aikman,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,6,2,2,3,3,3,3,0,0,0,0
alexander,alexander,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,9,9,4,4,4,4,5,5,0,0,0,0
alford,alford,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,6,6,2,2,2,2,4,4,0,0,0,0
alford,axford,0.833333333,0.833333333,0.888888889,0.9,0.833333333,0.9,0.9,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.6,0.6,0.6,0.714285714,0.714285714,0.714285714,0.5,0.5,0.5,0.625,0.625,0.625,0.833333333,0.833333333,0.833333333,0.6,0.6,0.6,0.5,0.5,0.5,0.833333333,0.833333333,0.833333333,0.714285714,0.714285714,0.714285714,0.625,0.625,0.625,0.709677419,0.709677419,0.709677419,0.666666667,0.666666667,0.666666667,0.75,0.5,0.25,0.75,0.25,0.75,0.90476191,0.916666672,0.909523819,0.925000004,0.90476191,0.916666672,0.909523819,0.925000004,0.833333333,0.782608696,0.818181818,0.75,6,6,6,2,2,2,2,4,4,0,0,0,0
algire,aulgire,0.857142857,0.857142857,0.952380952,0.957142857,0.857142857,0.957142857,0.957142857,0.769230769,0.769230769,0.833333333,0.833333333,0.714285714,0.714285714,0.771428571,0.9,0.830769231,0.857142857,1,0.923076923,0.857142857,1,0.923076923,0.666666667,0.8,0.727272727,0.75,0.857142857,0.8,0.6,0.75,0.666666667,0.666666667,0.75,0.705882353,0.923076923,1,0.857142857,0.727272727,0.8,0.666666667,0.666666667,0.75,0.6,0.923076923,1,0.857142857,0.8,0.857142857,0.75,0.705882353,0.75,0.666666667,0.722222222,0.838709677,0.776119403,0.692307692,0.857142857,0.765957447,1,1,1,1,1,1,0.833333336,0.839506176,0.837500006,0.844444447,0.952380955,0.944444448,0.957142864,0.950000003,0.928571429,0.933333333,0.954545455,0.913043478,8,6,7,1,1,3,4,3,3,-1,-1,0,0
alguire,alguire,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,7,7,1,1,4,4,3,3,0,0,0,0
allaire,allair,0.857142857,0.857142857,0.952380952,0.971428571,0.857142857,0.971428571,0.971428571,0.923076923,0.923076923,1,1,0.857142857,0.857142857,0.857142857,1,0.923076923,0.857142857,1,0.923076923,0.857142857,1,0.923076923,0.833333333,1,0.909090909,0.75,0.857142857,0.8,0.8,1,0.888888889,0.666666667,0.75,0.705882353,0.923076923,1,0.857142857,0.909090909,1,0.833333333,0.888888889,1,0.8,0.923076923,1,0.857142857,0.8,0.857142857,0.75,0.705882353,0.75,0.666666667,0.777777778,0.903225806,0.835820896,0.807692308,1,0.893617021,1,1,1,1,1,1,0.833333336,0.839506176,0.837500006,0.846913583,0.916666672,0.92592593,0.920833342,0.933333337,0.857142857,0.933333333,0.954545455,0.913043478,7,7,6,1,2,4,3,3,3,1,1,0,-1
allen,allan,0.8,0.8,0.866666667,0.906666667,0.8,0.906666667,0.906666667,0.6,0.6,0.6,0.6,0.6,0.6,0.88,0.88,0.88,0.8,0.8,0.8,0.8,0.8,0.8,0.5,0.5,0.5,0.666666667,0.666666667,0.666666667,0.333333333,0.333333333,0.333333333,0.571428571,0.571428571,0.571428571,0.8,0.8,0.8,0.5,0.5,0.5,0.333333333,0.333333333,0.333333333,0.8,0.8,0.8,0.666666667,0.666666667,0.666666667,0.571428571,0.571428571,0.571428571,0.653846154,0.653846154,0.653846154,0.5625,0.5625,0.5625,1,1,1,1,1,1,0.888888896,0.90476191,0.894444456,0.914285719,0.888888896,0.90476191,0.894444456,0.914285719,0.9,0.820512821,0.842105263,0.8,5,5,5,2,2,2,2,3,3,0,0,0,0
allen,allen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,5,5,2,2,2,2,3,3,0,0,0,0
allin,allin,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,5,2,2,2,2,3,3,0,0,0,0
allison,allison,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,7,3,3,3,3,4,4,0,0,0,0
amiot,amyot,0.8,0.8,0.866666667,0.893333333,0.8,0.893333333,0.893333333,0.4,0.8,0.4,0.8,0.4,0.8,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.5,0.5,0.5,0.666666667,0.666666667,0.666666667,0,0,0,0.571428571,0.571428571,0.571428571,0.8,0.8,0.8,0.5,0.5,0.5,0,0,0,0.8,0.8,0.8,0.666666667,0.666666667,0.666666667,0.571428571,0.571428571,0.571428571,0.615384615,0.615384615,0.615384615,0.5,0.5,0.5,1,1,1,1,1,1,0.888888896,0.90476191,0.894444456,0.914285719,0.888888896,0.90476191,0.894444456,0.914285719,0.9,0.9,0.9,0.9,7,5,5,2,2,3,2,2,3,0,1,-1,0
anderson,amerson,0.75,0.75,0.869047619,0.882142857,0.75,0.882142857,0.882142857,0.666666667,0.666666667,0.714285714,0.714285714,0.625,0.625,0.65,0.742857143,0.693333333,0.75,0.857142857,0.8,0.75,0.857142857,0.8,0.571428571,0.666666667,0.615384615,0.666666667,0.75,0.705882353,0.5,0.6,0.545454545,0.6,0.666666667,0.631578947,0.8,0.857142857,0.75,0.615384615,0.666666667,0.571428571,0.545454545,0.6,0.5,0.8,0.857142857,0.75,0.705882353,0.75,0.666666667,0.631578947,0.666666667,0.6,0.585365854,0.666666667,0.623376623,0.548387097,0.653846154,0.596491228,0.5,1,0.5,0.5,0.25,0.5,0.814814819,0.811111116,0.818518526,0.820000005,0.888888896,0.866666675,0.896296309,0.880000007,0.8125,0.666666667,0.678571429,0.655172414,7,8,7,3,3,3,3,5,4,1,0,1,0
anderson,andersen,0.875,0.875,0.916666667,0.95,0.875,0.95,0.95,0.75,0.75,0.75,0.75,0.75,0.75,0.925,0.925,0.925,0.875,0.875,0.875,0.875,0.875,0.875,0.714285714,0.714285714,0.714285714,0.777777778,0.777777778,0.777777778,0.666666667,0.666666667,0.666666667,0.7,0.7,0.7,0.875,0.875,0.875,0.714285714,0.714285714,0.714285714,0.666666667,0.666666667,0.666666667,0.875,0.875,0.875,0.777777778,0.777777778,0.777777778,0.7,0.7,0.7,0.780487805,0.780487805,0.780487805,0.774193548,0.774193548,0.774193548,1,1,1,1,1,1,0.92592593,0.933333337,0.929629637,0.940000004,0.92592593,0.933333337,0.929629637,0.940000004,0.9375,0.931034483,0.931034483,0.931034483,1,8,8,3,3,3,3,5,5,0,0,0,0
anderson,anderson,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,8,8,3,3,3,3,5,5,0,0,0,0
anderton,anderton,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,8,8,3,3,3,3,5,5,0,0,0,0
andrew,andrew,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,6,2,2,2,2,4,4,0,0,0,0
andrew,androw,0.833333333,0.833333333,0.888888889,0.933333333,0.833333333,0.933333333,0.933333333,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.9,0.9,0.9,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.6,0.6,0.6,0.714285714,0.714285714,0.714285714,0.5,0.5,0.5,0.625,0.625,0.625,0.833333333,0.833333333,0.833333333,0.6,0.6,0.6,0.5,0.5,0.5,0.833333333,0.833333333,0.833333333,0.714285714,0.714285714,0.714285714,0.625,0.625,0.625,0.709677419,0.709677419,0.709677419,0.666666667,0.666666667,0.666666667,1,1,1,1,1,1,0.90476191,0.916666672,0.909523819,0.925000004,0.90476191,0.916666672,0.909523819,0.925000004,0.916666667,0.904761905,0.904761905,0.904761905,6,6,6,2,2,2,2,4,4,0,0,0,0
andrews,andrews,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,7,7,2,2,2,2,5,5,0,0,0,0
anglin,anglin,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,6,2,2,2,2,4,4,0,0,0,0
anstead,ansted,0.857142857,0.857142857,0.952380952,0.971428571,0.857142857,0.971428571,0.971428571,0.769230769,0.769230769,0.833333333,0.833333333,0.714285714,0.714285714,0.714285714,0.833333333,0.769230769,0.857142857,1,0.923076923,0.857142857,1,0.923076923,0.666666667,0.8,0.727272727,0.75,0.857142857,0.8,0.6,0.75,0.666666667,0.666666667,0.75,0.705882353,0.923076923,1,0.857142857,0.727272727,0.8,0.666666667,0.666666667,0.75,0.6,0.923076923,1,0.857142857,0.8,0.857142857,0.75,0.705882353,0.75,0.666666667,0.722222222,0.838709677,0.776119403,0.692307692,0.857142857,0.765957447,1,1,1,1,1,1,0.833333336,0.839506176,0.837500006,0.844444447,0.916666672,0.901234574,0.925000012,0.911111116,0.928571429,0.930232558,0.952380952,0.909090909,6,7,6,2,2,3,2,4,4,1,1,0,0
antner,entnes,0.666666667,0.666666667,0.777777778,0.777777778,0.666666667,0.777777778,0.777777778,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.733333333,0.733333333,0.733333333,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.6,0.6,0.6,0.428571429,0.428571429,0.428571429,0.5,0.5,0.5,0.25,0.25,0.25,0.666666667,0.666666667,0.666666667,0.6,0.6,0.6,0.5,0.5,0.5,0.666666667,0.666666667,0.666666667,0.428571429,0.428571429,0.428571429,0.25,0.25,0.25,0.548387097,0.548387097,0.548387097,0.523809524,0.523809524,0.523809524,0.75,1,1,0.75,1,0.75,0.809523821,0.833333343,0.819047638,0.850000009,0.809523821,0.833333343,0.819047638,0.850000009,0.75,0,0,0,5,6,6,2,2,2,2,4,4,0,0,0,0
archer,archer,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,2,2,2,2,4,4,0,0,0,0
arcon,arcand,0.666666667,0.666666667,0.822222222,0.875555556,0.666666667,0.875555556,0.875555556,0.545454545,0.545454545,0.6,0.6,0.5,0.5,0.733333333,0.88,0.8,0.666666667,0.8,0.727272727,0.666666667,0.8,0.727272727,0.4,0.5,0.444444444,0.428571429,0.5,0.461538462,0.25,0.333333333,0.285714286,0.375,0.428571429,0.4,0.727272727,0.8,0.666666667,0.444444444,0.5,0.4,0.285714286,0.333333333,0.25,0.727272727,0.8,0.666666667,0.461538462,0.5,0.428571429,0.4,0.428571429,0.375,0.483870968,0.576923077,0.526315789,0.428571429,0.5625,0.486486486,1,1,0.75,1,1,1,0.714285723,0.736111119,0.72380954,0.74722223,0.833333343,0.841269851,0.844444464,0.853968263,0.75,0.465116279,0.476190476,0.454545455,2,5,6,2,2,2,2,3,4,-1,0,-1,0
arial,arial,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,5,2,2,3,3,2,2,0,0,0,0
arkell,arkell,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,6,6,2,2,2,2,4,4,0,0,0,0
arksey,arksey,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,6,6,2,2,2,2,4,4,0,0,0,0
armstrong,armstrong,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,9,9,2,2,2,2,7,7,0,0,0,0
arnitz,arnitz,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,6,6,2,2,2,2,4,4,0,0,0,0
