ln71,ln81,edit,dl,jaro,jw,bag,pw,sw,lcs3avg,lcs2avg,lcs3sht,lcs2sht,lcs3long,lcs2long,SWlong,SWsht,SWavg,1gramslong,1gramssht,1gramsavg,pad1gramslong,pad1gramssht,pad1gramsavg,2gramslong,2gramssht,2gramsavg,pad2gramslong,pad2gramssht,pad2gramsavg,3gramslong,3gramssht,3gramsavg,pad3gramslong,pad3gramssht,pad3gramsavg,pos1gramsavg,pos1gramssht,pos1gramslong,pos2gramsavg,pos2gramssht,pos2gramslong,pos3gramsavg,pos3gramssht,pos3gramslong,padpos1gramsavg,padpos1gramssht,padpos1gramslong,padpos2gramsavg,padpos2gramssht,padpos2gramslong,padpos3gramsavg,padpos3gramssht,padpos3gramslong,padskipgramslong,padskipgramssht,padskipgramsavg,skipgramslong,skipgramssht,skipgramsavg,Soundex,Phonex,Phonix,NYSIIS,D-Metaphone,FuzSoundex,Genjac2j,Genjac3j,Genjac2jw,Genjac3jw,Mong2j,Mong3j,Mong2jw,Mong3jw,editex,SAPSavg,SAPSsht,SAPSlong,len1,len2,s1,s2,v1,v2,c1,c2,difflen,diffvow,diffcons,diffsyl
steels,abbey,0.166666667,0.166666667,0.455555556,0.455555556,0.166666667,0.455555556,0.455555556,0.181818182,0.181818182,0.2,0.2,0.166666667,0.166666667,0.166666667,0.2,0.181818182,0.166666667,0.2,0.181818182,0.166666667,0.2,0.181818182,0,0,0,0,0,0,0,0,0,0,0,0,0.181818182,0.2,0.166666667,0,0,0,0,0,0,0.181818182,0.2,0.166666667,0,0,0,0,0,0,0.032258065,0.038461538,0.035087719,0,0,0,0,0.25,0,0,0,0,0.296296305,0.419753101,0.303703719,0.335555565,0.47619049,0.611111134,0.490476217,0.633333355,0.333333333,0,0,0,6,5,1,2,2,2,4,3,1,0,1,-1
stringer,abbott,0,0,0.430555556,0.430555556,0.125,0.430555556,0.430555556,0.142857143,0.142857143,0.166666667,0.166666667,0.125,0.125,0.125,0.166666667,0.142857143,0.125,0.166666667,0.142857143,0.125,0.166666667,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153846158,0.247863256,0.227777789,0.258119666,0.296296305,0.377777791,0.303703719,0.391111124,0.125,0,0,0,8,6,2,2,2,2,6,4,2,0,2,0
ogarmar,abell,0.142857143,0.142857143,0.447619048,0.447619048,0.142857143,0.447619048,0.447619048,0.166666667,0.166666667,0.2,0.2,0.142857143,0.142857143,0.142857143,0.2,0.166666667,0.142857143,0.2,0.166666667,0.142857143,0.2,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.2,0.142857143,0,0,0,0,0,0,0.166666667,0.2,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.25,0.25,0,0.200000006,0.222222229,0.206666678,0.233333339,0.500000015,0.604938295,0.512500025,0.62469138,0.285714286,0,0,0,7,5,3,2,3,2,4,3,2,1,1,1
bedard,abram,0.166666667,0.166666667,0.588888889,0.588888889,0.5,0.588888889,0.588888889,0.181818182,0.181818182,0.2,0.2,0.166666667,0.166666667,0.166666667,0.2,0.181818182,0.5,0.6,0.545454545,0.5,0.6,0.545454545,0,0,0,0,0,0,0,0,0,0,0,0,0.545454545,0.6,0.5,0,0,0,0,0,0,0.545454545,0.6,0.5,0,0,0,0,0,0,0.161290323,0.192307692,0.175438596,0.095238095,0.125,0.108108108,0.25,0,0,0.25,0.25,0.25,0.296296305,0.541666687,0.43333336,0.569444463,0.571428588,0.611111134,0.590476223,0.63888891,0.166666667,0,0,0,6,5,2,2,2,2,4,3,1,0,1,0
turner,adair,0.166666667,0.166666667,0.455555556,0.455555556,0.166666667,0.455555556,0.455555556,0.181818182,0.181818182,0.2,0.2,0.166666667,0.166666667,0.233333333,0.28,0.254545455,0.166666667,0.2,0.181818182,0.166666667,0.2,0.181818182,0,0,0,0.142857143,0.166666667,0.153846154,0,0,0,0.125,0.142857143,0.133333333,0.181818182,0.2,0.166666667,0,0,0,0,0,0,0.181818182,0.2,0.166666667,0.153846154,0.166666667,0.142857143,0.133333333,0.142857143,0.125,0.064516129,0.076923077,0.070175439,0,0,0,0,0.5,0.5,0.25,0.25,0,0.233333337,0.366666675,0.236666673,0.375555563,0.523809535,0.666666687,0.533333353,0.683333352,0.333333333,0,0,0,6,5,2,2,2,3,4,2,1,-1,2,0
moseman,adams,0.142857143,0.142857143,0.395238095,0.395238095,0.428571429,0.395238095,0.395238095,0.166666667,0.166666667,0.2,0.2,0.142857143,0.142857143,0.2,0.28,0.233333333,0.428571429,0.6,0.5,0.428571429,0.6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.4,0.285714286,0,0,0,0,0,0,0.333333333,0.4,0.285714286,0,0,0,0,0,0,0.083333333,0.115384615,0.096774194,0.038461538,0.0625,0.047619048,0.25,0.5,0.25,0.25,0.25,0.25,0.500000015,0.481481499,0.385185209,0.501234584,0.666666687,0.604938295,0.687500037,0.634567923,0.285714286,0,0,0,7,5,3,2,3,2,4,3,2,1,1,1
macgregor,addison,0.222222222,0.222222222,0.502645503,0.502645503,0.222222222,0.502645503,0.502645503,0.125,0.125,0.142857143,0.142857143,0.111111111,0.111111111,0.111111111,0.142857143,0.125,0.222222222,0.285714286,0.25,0.222222222,0.285714286,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.285714286,0.222222222,0,0,0,0,0,0,0.25,0.285714286,0.222222222,0,0,0,0,0,0,0.065217391,0.083333333,0.073170732,0,0,0,0,0,0,0,0,0,0.256410264,0.350427362,0.264102578,0.362393173,0.400000012,0.484848499,0.41000002,0.496969711,0.277777778,0,0,0,9,7,3,3,3,3,6,4,2,0,2,0
belanges,adolph,0,0,0.361111111,0.361111111,0.25,0.361111111,0.361111111,0.142857143,0.142857143,0.166666667,0.166666667,0.125,0.125,0.175,0.233333333,0.2,0.25,0.333333333,0.285714286,0.25,0.333333333,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0.166666667,0.125,0,0,0,0,0,0,0.142857143,0.166666667,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.25,0.303030312,0.488888907,0.312121229,0.506666684,0.370370381,0.488888907,0.381481502,0.506666684,0.125,0,0,0,8,6,3,2,3,2,5,4,2,1,1,1
roeney,adrain,0,0,0.555555556,0.555555556,0.333333333,0.555555556,0.555555556,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.466666667,0.466666667,0.466666667,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0,0,0,0,0,0,0.032258065,0.032258065,0.032258065,0.047619048,0.047619048,0.047619048,0,0,0,0,0.5,0,0.266666675,0.377777791,0.276666683,0.391111124,0.47619049,0.611111134,0.490476217,0.633333355,0.25,0,0,0,6,6,2,2,3,3,3,3,0,0,0,0
johnston,agnew,0.125,0.125,0.441666667,0.441666667,0.125,0.441666667,0.441666667,0.153846154,0.153846154,0.2,0.2,0.125,0.125,0.125,0.2,0.153846154,0.125,0.2,0.153846154,0.125,0.2,0.153846154,0,0,0,0,0,0,0,0,0,0,0,0,0.153846154,0.2,0.125,0,0,0,0,0,0,0.153846154,0.2,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.166666672,0.343434355,0.248484861,0.446666682,0.370370381,0.488888907,0.381481502,0.50222224,0.25,0,0,0,8,5,2,2,2,2,6,3,3,0,3,0
