,Observations,age,hand,gender,T_2.7,alpha_2.7,T_2.8,alpha_2.8,T_2.9,alpha_2.9,T_3.0,alpha_3.0,T_3.1,alpha_3.1,T_3.2,alpha_3.2,Group
1,CC110037,18,89,0,1.739029559,1.700690477,1.473811881,1.594097902,1.60251516,1.317141865,1.541561153,1.478067854,1.356446228,1.311767735,1.345359023,1.267141775,1
10,CC110182,18,80,1,1.5119345,1.359020771,1.469451061,1.26323688,1.385230429,1.479871314,1.447097083,1.251931772,1.271692478,1.255888023,1.362115915,1.261765885,1
30,CC120376,18,79,1,1.742946149,1.63742098,1.603252638,1.524693086,1.484938016,1.866821262,1.478575526,1.439803033,1.588331122,1.413043133,1.555325214,1.414488696,1
31,CC120409,18,100,0,1.966175796,1.648079942,1.749694855,1.5263771,1.731901911,1.784611403,1.524450878,1.709933524,1.594645455,1.613571866,1.519966951,1.239069186,1
32,CC120462,18,-80,1,1.457892493,1.521930808,1.467961669,1.418806912,1.462467066,1.458180499,1.306118231,1.402953564,1.281655992,1.342867933,1.2676755,1.282139349,1
41,CC121111,18,90,0,1.907810785,1.581110013,1.751519569,1.352842145,1.621442044,1.312024398,1.505739744,1.515695814,1.621049627,1.396170869,1.518365457,1.339920521,1
18,CC120061,19,70,0,1.867988932,1.689247346,1.741720783,1.580997186,1.577854248,1.694058765,1.5872073,1.604761282,1.530181072,1.513419886,1.484736305,1.492597747,1
35,CC120550,19,70,0,1.536490856,1.291017928,1.439446761,1.413715804,1.643423375,1.384161251,1.485552614,1.290448911,1.272648943,1.284526447,1.266090692,1.441769489,1
14,CC110606,20,90,0,1.765660386,1.760057053,1.766476036,1.43173313,1.505261564,1.609513057,1.661652451,1.247683946,1.528078757,1.480393165,1.46112925,1.447998955,1
50,CC121685,20,-58,0,1.661303678,1.72798316,1.860844152,1.804572852,1.776350014,1.528451306,1.646793015,1.265793382,1.450377346,1.247970059,1.523125396,1.26971912,1
29,CC120347,21,-87,1,1.953673482,1.286507925,1.302590334,1.281633069,1.707107064,1.254823745,1.644067567,1.332069245,1.27645321,1.307864521,1.28392884,1.228899002,1
3,CC110056,22,100,1,1.990396736,1.308858072,1.69570207,1.531812008,1.547413978,1.553964485,1.483122668,1.459010664,1.642171512,1.568856878,1.348205157,1.404409135,1
8,CC110126,22,80,1,1.925594413,2.062159898,1.514271163,1.857769654,1.765361897,1.618955441,1.655522393,1.587037985,1.33136932,1.502029567,1.434492498,1.411477584,1
6,CC110098,23,100,0,1.918829823,1.843861263,1.66996355,1.674334372,1.675051348,1.537402077,1.498877454,1.39613285,1.457145186,1.520137808,1.521582488,1.250801422,1
7,CC110101,23,63,0,1.898441717,1.862222326,1.730767384,1.727852036,1.581791703,1.624734538,1.518131057,1.553352797,1.466844255,1.472728743,1.401650444,1.418106023,1
26,CC120276,23,71,1,1.503767892,1.410877836,1.529064275,1.543440152,1.504426433,1.445105024,1.333109066,1.279839742,1.455266954,1.306215801,1.293706895,1.355804096,1
37,CC120727,23,100,1,1.516382685,1.440318251,1.73115321,1.510126392,1.700687945,1.421690692,1.379200691,1.265390419,1.305457602,1.280398247,1.279077575,1.272297097,1
2,CC110045,24,100,1,1.491231617,1.276229093,1.529249853,1.290144552,1.306883022,1.268142286,1.337017863,1.26541517,1.275401031,1.354261358,1.272974495,1.282348713,1
39,CC120795,24,100,0,1.817535426,1.900543676,1.797835647,1.720581923,1.676651899,1.521102615,1.574951191,1.563764121,1.484414195,1.51362184,1.435494159,1.339593413,1
54,CC122620,24,50,1,1.685152656,1.264500228,1.508680148,1.401964196,1.274128761,1.389415535,1.45820562,1.310336734,1.269141161,1.315079551,1.286177708,1.302525639,1
9,CC110174,25,73,1,1.866500178,1.267415972,1.402443902,1.382157976,1.601018535,1.308046241,1.32681108,1.271357543,1.542693175,1.240359255,1.259215176,1.240739411,1
11,CC110187,25,-100,1,1.658136492,1.436784978,1.333905042,1.375101686,1.43398494,1.425078487,1.301137417,1.351928406,1.287178244,1.297536283,1.281873552,1.298587684,1
13,CC110411,25,100,0,1.865993089,1.842706036,1.828862152,1.681237807,1.483643346,1.662183831,1.641681397,1.563050109,1.559387023,1.411866719,1.26539916,1.357439171,1
19,CC120065,25,100,1,1.854124837,1.795706182,1.644255994,1.787803839,1.625508746,1.606774942,1.584942296,1.548228012,1.477882521,1.281266929,1.374897977,1.249512494,1
20,CC120120,25,80,0,1.591256841,1.638315807,1.445733894,1.51745693,1.578084482,1.344111009,1.330434842,1.370622206,1.325364926,1.379641869,1.353479985,1.329751905,1
